CalcDateTime,Mnemonic,MinPrice,MaxPrice,StartPrice,EndPrice,TradedVolume,NumberOfTrades
2017-07-03,SNH,4.442,4.542,4.456,4.531,3276410,2238
2017-07-04,SNH,4.55,4.589,4.557,4.564,1524875,1420
2017-07-05,SNH,4.505,4.587,4.557,4.548,1861478,1671
2017-07-06,SNH,4.488,4.59,4.558,4.52,2029666,1868
2017-07-07,SNH,4.458,4.513,4.467,4.506,1682113,1530
2017-07-10,SNH,4.46,4.515,4.492,4.48,1558809,1651
2017-07-11,SNH,4.325,4.45,4.449,4.346,4896033,3075
2017-07-12,SNH,4.38,4.454,4.4,4.398,4625390,2885
2017-07-13,SNH,4.425,4.501,4.443,4.488,3490076,2428
2017-07-14,SNH,4.522,4.595,4.548,4.531,4107032,3611
2017-07-17,SNH,4.535,4.608,4.556,4.602,2608340,2042
2017-07-18,SNH,4.495,4.595,4.579,4.511,1926727,1591
2017-07-19,SNH,4.506,4.563,4.527,4.554,1289753,1613
2017-07-20,SNH,4.521,4.613,4.554,4.545,1997873,2041
2017-07-21,SNH,4.472,4.565,4.56,4.484,2182454,2112
2017-07-24,SNH,4.479,4.546,4.48,4.5,1798583,1659
2017-07-25,SNH,4.4,4.5,4.492,4.409,2512622,2337
2017-07-26,SNH,4.409,4.483,4.409,4.464,1435745,1181
2017-07-27,SNH,4.386,4.532,4.516,4.434,2153794,2133
2017-07-28,SNH,4.394,4.445,4.444,4.409,1498951,1741
2017-07-31,SNH,4.237,4.42,4.397,4.276,3213585,2191
2017-08-01,SNH,4.23,4.289,4.241,4.278,3673769,2316
2017-08-02,SNH,4.224,4.3,4.246,4.267,3285509,2256
2017-08-03,SNH,4.187,4.271,4.242,4.241,6288431,3968
2017-08-04,SNH,4.241,4.4,4.243,4.355,4226939,2674
2017-08-07,SNH,4.417,4.482,4.444,4.451,6381292,3699
2017-08-08,SNH,4.436,4.477,4.465,4.438,4174114,2634
2017-08-09,SNH,4.281,4.4,4.394,4.338,1654439,1238
2017-08-10,SNH,4.278,4.391,4.375,4.285,4022636,2553
2017-08-11,SNH,4.218,4.29,4.284,4.221,2202578,1365
2017-08-14,SNH,4.218,4.313,4.223,4.272,1426690,1029
2017-08-15,SNH,4.21,4.282,4.272,4.22,1894983,1279
2017-08-16,SNH,4.219,4.294,4.225,4.26,2009085,1385
2017-08-17,SNH,4.191,4.282,4.265,4.191,1567766,1422
2017-08-18,SNH,4.153,4.18,4.17,4.165,1496730,992
2017-08-21,SNH,4.111,4.175,4.165,4.133,1377272,1033
2017-08-22,SNH,4.133,4.229,4.16,4.216,2230824,1500
2017-08-23,SNH,4.196,4.309,4.295,4.232,1789193,1390
